year,Fidelia
1880,6
1881,0
1882,5
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,10
1891,0
1892,7
1893,5
1894,5
1895,5
1896,6
1897,8
1898,0
1899,8
1900,6
1901,0
1902,0
1903,0
1904,10
1905,0
1906,9
1907,0
1908,0
1909,5
1910,10
1911,7
1912,16
1913,7
1914,7
1915,10
1916,20
1917,9
1918,11
1919,9
1920,20
1921,12
1922,11
1923,9
1924,17
1925,16
1926,15
1927,13
1928,9
1929,11
1930,9
1931,7
1932,9
1933,7
1934,16
1935,9
1936,8
1937,13
1938,6
1939,0
1940,9
1941,6
1942,13
1943,9
1944,10
1945,0
1946,5
1947,0
1948,5
1949,5
1950,0
1951,0
1952,0
1953,9
1954,5
1955,6
1956,7
1957,0
1958,0
1959,5
1960,0
1961,5
1962,0
1963,9
1964,0
1965,7
1966,0
1967,0
1968,5
1969,0
1970,0
1971,7
1972,5
1973,0
1974,6
1975,0
1976,0
1977,7
1978,6
1979,10
1980,0
1981,0
1982,5
1983,9
1984,0
1985,0
1986,0
1987,9
1988,0
1989,5
1990,9
1991,6
1992,5
1993,11
1994,7
1995,0
1996,9
1997,6
1998,0
1999,7
2000,0
2001,0
2002,0
2003,0
2004,5
2005,7
2006,5
2007,5
2008,0
2009,0
2010,6
2011,5
2012,0
