year,Ferris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,5
1895,6
1896,7
1897,0
1898,0
1899,0
1900,9
1901,0
1902,10
1903,0
1904,7
1905,6
1906,0
1907,9
1908,8
1909,0
1910,6
1911,10
1912,16
1913,36
1914,35
1915,52
1916,40
1917,44
1918,42
1919,42
1920,38
1921,53
1922,53
1923,50
1924,55
1925,50
1926,53
1927,49
1928,33
1929,34
1930,34
1931,37
1932,28
1933,23
1934,13
1935,27
1936,15
1937,16
1938,21
1939,31
1940,32
1941,21
1942,31
1943,31
1944,23
1945,23
1946,20
1947,38
1948,22
1949,33
1950,33
1951,26
1952,26
1953,38
1954,21
1955,39
1956,16
1957,28
1958,25
1959,22
1960,17
1961,19
1962,18
1963,10
1964,12
1965,13
1966,11
1967,11
1968,10
1969,16
1970,17
1971,8
1972,10
1973,15
1974,16
1975,14
1976,14
1977,16
1978,11
1979,9
1980,14
1981,27
1982,18
1983,21
1984,12
1985,22
1986,23
1987,16
1988,17
1989,13
1990,16
1991,20
1992,16
1993,15
1994,18
1995,9
1996,18
1997,13
1998,17
1999,10
2000,11
2001,18
2002,14
2003,17
2004,10
2005,14
2006,22
2007,28
2008,30
2009,25
2010,22
2011,28
2012,29
