year,Francine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,5
1902,0
1903,5
1904,10
1905,11
1906,10
1907,10
1908,9
1909,7
1910,14
1911,7
1912,26
1913,23
1914,29
1915,38
1916,50
1917,47
1918,62
1919,49
1920,71
1921,84
1922,77
1923,62
1924,98
1925,104
1926,103
1927,125
1928,94
1929,114
1930,141
1931,157
1932,183
1933,208
1934,169
1935,238
1936,218
1937,244
1938,287
1939,279
1940,298
1941,390
1942,576
1943,528
1944,531
1945,746
1946,1083
1947,1039
1948,976
1949,1058
1950,1125
1951,1140
1952,1057
1953,1081
1954,1010
1955,1043
1956,1025
1957,896
1958,839
1959,985
1960,1028
1961,943
1962,784
1963,808
1964,851
1965,689
1966,711
1967,613
1968,615
1969,567
1970,604
1971,511
1972,423
1973,319
1974,323
1975,289
1976,240
1977,217
1978,224
1979,231
1980,200
1981,260
1982,224
1983,187
1984,202
1985,217
1986,174
1987,162
1988,163
1989,150
1990,142
1991,143
1992,125
1993,126
1994,105
1995,90
1996,93
1997,93
1998,93
1999,57
2000,67
2001,62
2002,57
2003,62
2004,58
2005,56
2006,43
2007,31
2008,52
2009,38
2010,33
2011,46
2012,46
