year,Florian
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,6
1891,0
1892,6
1893,7
1894,6
1895,5
1896,7
1897,0
1898,0
1899,6
1900,0
1901,0
1902,7
1903,0
1904,8
1905,8
1906,8
1907,6
1908,8
1909,12
1910,16
1911,18
1912,37
1913,69
1914,66
1915,97
1916,104
1917,120
1918,110
1919,100
1920,93
1921,130
1922,103
1923,102
1924,99
1925,110
1926,108
1927,81
1928,88
1929,67
1930,65
1931,67
1932,61
1933,56
1934,55
1935,35
1936,47
1937,47
1938,41
1939,38
1940,39
1941,48
1942,26
1943,37
1944,38
1945,25
1946,36
1947,35
1948,29
1949,20
1950,18
1951,20
1952,18
1953,23
1954,24
1955,23
1956,24
1957,14
1958,18
1959,26
1960,7
1961,14
1962,9
1963,10
1964,16
1965,7
1966,8
1967,8
1968,6
1969,9
1970,7
1971,6
1972,7
1973,9
1974,0
1975,8
1976,9
1977,9
1978,6
1979,0
1980,0
1981,5
1982,7
1983,6
1984,7
1985,13
1986,11
1987,11
1988,8
1989,8
1990,12
1991,11
1992,10
1993,12
1994,9
1995,12
1996,15
1997,11
1998,14
1999,13
2000,17
2001,9
2002,17
2003,17
2004,11
2005,11
2006,17
2007,15
2008,17
2009,15
2010,25
2011,14
2012,13
