year,Frazier
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,8
1888,7
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,8
1898,7
1899,6
1900,7
1901,8
1902,0
1903,6
1904,11
1905,5
1906,9
1907,10
1908,9
1909,0
1910,11
1911,10
1912,18
1913,16
1914,19
1915,28
1916,30
1917,28
1918,29
1919,40
1920,28
1921,22
1922,36
1923,30
1924,21
1925,20
1926,27
1927,31
1928,24
1929,32
1930,16
1931,30
1932,24
1933,20
1934,24
1935,19
1936,23
1937,21
1938,17
1939,21
1940,26
1941,23
1942,31
1943,37
1944,31
1945,27
1946,32
1947,28
1948,31
1949,36
1950,23
1951,25
1952,18
1953,26
1954,20
1955,21
1956,15
1957,19
1958,17
1959,14
1960,23
1961,19
1962,16
1963,17
1964,17
1965,19
1966,18
1967,17
1968,15
1969,12
1970,23
1971,17
1972,10
1973,12
1974,15
1975,18
1976,9
1977,10
1978,10
1979,15
1980,13
1981,15
1982,13
1983,7
1984,9
1985,7
1986,14
1987,14
1988,13
1989,13
1990,14
1991,14
1992,22
1993,17
1994,18
1995,13
1996,11
1997,10
1998,10
1999,13
2000,11
2001,7
2002,7
2003,10
2004,0
2005,6
2006,8
2007,5
2008,6
2009,11
2010,10
2011,8
2012,5
