year,Flavia
1880,0
1881,6
1882,0
1883,0
1884,10
1885,5
1886,0
1887,6
1888,6
1889,5
1890,7
1891,0
1892,6
1893,7
1894,5
1895,0
1896,5
1897,8
1898,5
1899,7
1900,7
1901,6
1902,0
1903,8
1904,8
1905,10
1906,7
1907,0
1908,13
1909,11
1910,9
1911,15
1912,11
1913,16
1914,17
1915,18
1916,16
1917,19
1918,26
1919,29
1920,18
1921,39
1922,28
1923,27
1924,18
1925,27
1926,26
1927,21
1928,31
1929,22
1930,18
1931,20
1932,18
1933,17
1934,15
1935,9
1936,12
1937,11
1938,15
1939,17
1940,14
1941,7
1942,16
1943,13
1944,12
1945,7
1946,10
1947,10
1948,11
1949,13
1950,7
1951,10
1952,8
1953,10
1954,19
1955,19
1956,12
1957,6
1958,9
1959,14
1960,14
1961,10
1962,13
1963,14
1964,14
1965,13
1966,12
1967,6
1968,11
1969,10
1970,13
1971,10
1972,13
1973,12
1974,12
1975,13
1976,15
1977,19
1978,7
1979,17
1980,12
1981,13
1982,12
1983,13
1984,5
1985,11
1986,11
1987,14
1988,10
1989,7
1990,22
1991,13
1992,14
1993,10
1994,11
1995,18
1996,12
1997,8
1998,12
1999,10
2000,7
2001,13
2002,18
2003,15
2004,19
2005,16
2006,18
2007,17
2008,15
2009,9
2010,11
2011,12
2012,13
