year,Felicita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,5
1891,5
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,6
1899,6
1900,0
1901,0
1902,6
1903,9
1904,6
1905,7
1906,6
1907,8
1908,0
1909,7
1910,6
1911,0
1912,9
1913,12
1914,12
1915,15
1916,16
1917,13
1918,9
1919,17
1920,23
1921,15
1922,12
1923,14
1924,14
1925,19
1926,24
1927,19
1928,22
1929,18
1930,25
1931,16
1932,6
1933,12
1934,20
1935,16
1936,12
1937,9
1938,15
1939,11
1940,14
1941,15
1942,12
1943,13
1944,17
1945,12
1946,13
1947,24
1948,16
1949,9
1950,25
1951,22
1952,11
1953,23
1954,26
1955,25
1956,29
1957,22
1958,23
1959,30
1960,33
1961,32
1962,27
1963,24
1964,36
1965,28
1966,24
1967,20
1968,23
1969,33
1970,29
1971,29
1972,27
1973,31
1974,22
1975,36
1976,21
1977,32
1978,32
1979,31
1980,20
1981,25
1982,18
1983,22
1984,15
1985,24
1986,19
1987,22
1988,20
1989,18
1990,14
1991,16
1992,11
1993,8
1994,13
1995,10
1996,13
1997,13
1998,13
1999,13
2000,9
2001,12
2002,10
2003,12
2004,8
2005,7
2006,6
2007,8
2008,10
2009,0
2010,0
2011,0
2012,0
