year,Faye
1880,8
1881,12
1882,20
1883,14
1884,23
1885,30
1886,36
1887,42
1888,56
1889,55
1890,59
1891,70
1892,97
1893,107
1894,121
1895,118
1896,132
1897,148
1898,153
1899,125
1900,194
1901,166
1902,188
1903,195
1904,214
1905,189
1906,239
1907,268
1908,311
1909,266
1910,312
1911,394
1912,467
1913,574
1914,670
1915,810
1916,881
1917,945
1918,948
1919,941
1920,949
1921,1003
1922,937
1923,998
1924,936
1925,1022
1926,1233
1927,1107
1928,1086
1929,1088
1930,1114
1931,1198
1932,1239
1933,1214
1934,1428
1935,1263
1936,1228
1937,1309
1938,1334
1939,1336
1940,1408
1941,1380
1942,1314
1943,1478
1944,1358
1945,1384
1946,1422
1947,1394
1948,1353
1949,1293
1950,1279
1951,1245
1952,1226
1953,1033
1954,1107
1955,1028
1956,983
1957,948
1958,862
1959,776
1960,782
1961,656
1962,554
1963,477
1964,445
1965,338
1966,270
1967,249
1968,245
1969,234
1970,204
1971,195
1972,153
1973,125
1974,149
1975,141
1976,128
1977,146
1978,154
1979,164
1980,120
1981,142
1982,125
1983,93
1984,122
1985,109
1986,109
1987,90
1988,65
1989,80
1990,74
1991,73
1992,87
1993,57
1994,58
1995,44
1996,49
1997,57
1998,55
1999,62
2000,83
2001,84
2002,102
2003,82
2004,111
2005,134
2006,111
2007,121
2008,140
2009,137
2010,162
2011,151
2012,231
