year,Fabiola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,0
1897,6
1898,0
1899,0
1900,8
1901,0
1902,0
1903,0
1904,0
1905,5
1906,6
1907,0
1908,0
1909,5
1910,9
1911,5
1912,0
1913,8
1914,11
1915,10
1916,0
1917,0
1918,5
1919,8
1920,13
1921,8
1922,11
1923,7
1924,14
1925,5
1926,11
1927,11
1928,20
1929,11
1930,10
1931,13
1932,7
1933,10
1934,12
1935,14
1936,6
1937,12
1938,13
1939,11
1940,5
1941,7
1942,7
1943,0
1944,7
1945,0
1946,8
1947,8
1948,9
1949,5
1950,7
1951,14
1952,13
1953,8
1954,13
1955,7
1956,6
1957,0
1958,6
1959,5
1960,13
1961,15
1962,12
1963,14
1964,14
1965,16
1966,26
1967,23
1968,23
1969,24
1970,38
1971,39
1972,34
1973,57
1974,66
1975,86
1976,68
1977,73
1978,92
1979,115
1980,93
1981,113
1982,121
1983,104
1984,101
1985,128
1986,172
1987,145
1988,134
1989,221
1990,238
1991,284
1992,272
1993,312
1994,300
1995,320
1996,327
1997,274
1998,279
1999,270
2000,225
2001,255
2002,288
2003,246
2004,282
2005,260
2006,262
2007,256
2008,209
2009,174
2010,143
2011,136
2012,156
