year,Florinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,7
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,7
1902,7
1903,5
1904,0
1905,7
1906,10
1907,13
1908,5
1909,8
1910,0
1911,12
1912,7
1913,14
1914,12
1915,10
1916,21
1917,17
1918,21
1919,19
1920,27
1921,25
1922,25
1923,28
1924,16
1925,29
1926,35
1927,21
1928,24
1929,28
1930,27
1931,20
1932,17
1933,17
1934,18
1935,20
1936,25
1937,19
1938,21
1939,24
1940,26
1941,17
1942,24
1943,22
1944,26
1945,13
1946,23
1947,23
1948,24
1949,19
1950,30
1951,35
1952,33
1953,25
1954,39
1955,34
1956,42
1957,33
1958,26
1959,21
1960,23
1961,38
1962,27
1963,22
1964,28
1965,27
1966,13
1967,19
1968,33
1969,24
1970,32
1971,23
1972,28
1973,16
1974,30
1975,17
1976,14
1977,7
1978,14
1979,13
1980,18
1981,17
1982,10
1983,6
1984,11
1985,0
1986,11
1987,5
1988,11
1989,0
1990,14
1991,7
1992,5
1993,5
1994,7
1995,6
1996,0
1997,6
1998,6
1999,8
2000,5
2001,0
2002,0
2003,8
2004,10
2005,5
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
