year,Franz
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,0
1892,0
1893,6
1894,7
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,6
1910,5
1911,6
1912,13
1913,12
1914,22
1915,21
1916,34
1917,23
1918,16
1919,7
1920,17
1921,15
1922,13
1923,12
1924,6
1925,17
1926,12
1927,19
1928,22
1929,18
1930,18
1931,19
1932,22
1933,22
1934,18
1935,21
1936,31
1937,29
1938,24
1939,25
1940,26
1941,27
1942,34
1943,20
1944,24
1945,18
1946,28
1947,19
1948,19
1949,29
1950,24
1951,28
1952,25
1953,33
1954,32
1955,37
1956,30
1957,43
1958,37
1959,33
1960,43
1961,38
1962,48
1963,59
1964,44
1965,55
1966,42
1967,33
1968,44
1969,37
1970,46
1971,40
1972,41
1973,26
1974,26
1975,40
1976,34
1977,31
1978,23
1979,23
1980,41
1981,21
1982,17
1983,23
1984,40
1985,26
1986,36
1987,37
1988,27
1989,30
1990,29
1991,25
1992,19
1993,23
1994,24
1995,25
1996,27
1997,24
1998,23
1999,16
2000,17
2001,23
2002,18
2003,18
2004,21
2005,13
2006,22
2007,18
2008,11
2009,17
2010,15
2011,11
2012,18
