year,Furman
1880,0
1881,7
1882,11
1883,7
1884,8
1885,0
1886,0
1887,8
1888,10
1889,0
1890,7
1891,0
1892,7
1893,0
1894,6
1895,6
1896,10
1897,7
1898,6
1899,9
1900,22
1901,0
1902,12
1903,7
1904,9
1905,10
1906,8
1907,8
1908,10
1909,15
1910,13
1911,16
1912,27
1913,20
1914,41
1915,39
1916,51
1917,37
1918,73
1919,54
1920,48
1921,65
1922,65
1923,50
1924,60
1925,48
1926,40
1927,45
1928,51
1929,40
1930,63
1931,39
1932,50
1933,57
1934,41
1935,35
1936,53
1937,39
1938,39
1939,40
1940,39
1941,39
1942,43
1943,45
1944,46
1945,27
1946,55
1947,41
1948,31
1949,40
1950,40
1951,46
1952,33
1953,33
1954,40
1955,32
1956,26
1957,22
1958,36
1959,38
1960,27
1961,36
1962,23
1963,17
1964,23
1965,22
1966,18
1967,20
1968,18
1969,19
1970,21
1971,16
1972,10
1973,12
1974,9
1975,10
1976,18
1977,0
1978,13
1979,10
1980,9
1981,9
1982,7
1983,9
1984,6
1985,0
1986,13
1987,8
1988,8
1989,0
1990,7
1991,7
1992,6
1993,0
1994,0
1995,8
1996,0
1997,10
1998,0
1999,7
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
