year,Florencio
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,5
1909,5
1910,9
1911,9
1912,6
1913,12
1914,21
1915,16
1916,17
1917,22
1918,24
1919,11
1920,27
1921,24
1922,25
1923,40
1924,48
1925,39
1926,40
1927,44
1928,35
1929,36
1930,45
1931,29
1932,29
1933,27
1934,29
1935,24
1936,24
1937,31
1938,27
1939,28
1940,29
1941,41
1942,25
1943,30
1944,31
1945,37
1946,34
1947,42
1948,26
1949,39
1950,34
1951,28
1952,40
1953,29
1954,32
1955,31
1956,33
1957,29
1958,36
1959,15
1960,31
1961,36
1962,30
1963,28
1964,29
1965,29
1966,26
1967,28
1968,34
1969,34
1970,31
1971,34
1972,26
1973,24
1974,24
1975,34
1976,42
1977,27
1978,34
1979,39
1980,27
1981,35
1982,37
1983,26
1984,30
1985,24
1986,31
1987,28
1988,33
1989,31
1990,24
1991,31
1992,32
1993,19
1994,27
1995,21
1996,31
1997,32
1998,21
1999,31
2000,25
2001,27
2002,29
2003,20
2004,16
2005,26
2006,21
2007,26
2008,20
2009,19
2010,13
2011,12
2012,8
