year,Frederica
1880,0
1881,0
1882,0
1883,5
1884,0
1885,5
1886,6
1887,10
1888,7
1889,8
1890,6
1891,11
1892,9
1893,8
1894,13
1895,8
1896,13
1897,6
1898,17
1899,6
1900,6
1901,6
1902,6
1903,9
1904,9
1905,5
1906,0
1907,14
1908,14
1909,9
1910,11
1911,21
1912,22
1913,18
1914,16
1915,25
1916,36
1917,31
1918,26
1919,18
1920,20
1921,21
1922,28
1923,21
1924,14
1925,17
1926,15
1927,12
1928,17
1929,11
1930,16
1931,12
1932,27
1933,20
1934,13
1935,17
1936,13
1937,15
1938,23
1939,26
1940,30
1941,32
1942,36
1943,34
1944,32
1945,17
1946,31
1947,37
1948,23
1949,17
1950,29
1951,34
1952,33
1953,24
1954,24
1955,35
1956,30
1957,36
1958,37
1959,37
1960,47
1961,40
1962,44
1963,45
1964,39
1965,37
1966,28
1967,20
1968,30
1969,24
1970,18
1971,28
1972,23
1973,18
1974,18
1975,19
1976,23
1977,16
1978,23
1979,14
1980,11
1981,14
1982,15
1983,23
1984,10
1985,18
1986,17
1987,10
1988,23
1989,25
1990,23
1991,16
1992,16
1993,11
1994,8
1995,16
1996,9
1997,8
1998,13
1999,9
2000,8
2001,6
2002,6
2003,5
2004,10
2005,9
2006,0
2007,5
2008,0
2009,0
2010,7
2011,0
2012,5
