year,Florida
1880,10
1881,13
1882,11
1883,19
1884,18
1885,20
1886,10
1887,21
1888,40
1889,21
1890,28
1891,28
1892,26
1893,33
1894,27
1895,40
1896,45
1897,29
1898,48
1899,31
1900,57
1901,27
1902,41
1903,44
1904,36
1905,40
1906,37
1907,37
1908,35
1909,36
1910,43
1911,44
1912,54
1913,58
1914,59
1915,74
1916,62
1917,58
1918,75
1919,66
1920,71
1921,86
1922,72
1923,72
1924,72
1925,99
1926,79
1927,75
1928,70
1929,58
1930,56
1931,51
1932,54
1933,49
1934,57
1935,41
1936,65
1937,44
1938,42
1939,42
1940,50
1941,41
1942,61
1943,28
1944,41
1945,24
1946,22
1947,31
1948,47
1949,35
1950,39
1951,25
1952,25
1953,16
1954,20
1955,22
1956,14
1957,21
1958,17
1959,19
1960,20
1961,9
1962,10
1963,16
1964,6
1965,9
1966,8
1967,0
1968,0
1969,8
1970,8
1971,7
1972,5
1973,6
1974,11
1975,6
1976,5
1977,0
1978,9
1979,5
1980,0
1981,8
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,7
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
