year,Finis
1880,9
1881,16
1882,11
1883,6
1884,8
1885,9
1886,7
1887,11
1888,7
1889,14
1890,10
1891,0
1892,0
1893,7
1894,11
1895,10
1896,8
1897,10
1898,6
1899,6
1900,6
1901,12
1902,6
1903,5
1904,9
1905,10
1906,10
1907,11
1908,15
1909,12
1910,15
1911,12
1912,37
1913,29
1914,36
1915,41
1916,44
1917,47
1918,57
1919,43
1920,56
1921,61
1922,70
1923,48
1924,57
1925,47
1926,53
1927,48
1928,47
1929,42
1930,48
1931,39
1932,48
1933,51
1934,25
1935,38
1936,38
1937,36
1938,24
1939,22
1940,32
1941,34
1942,30
1943,29
1944,37
1945,22
1946,21
1947,26
1948,24
1949,15
1950,18
1951,24
1952,31
1953,28
1954,15
1955,12
1956,17
1957,10
1958,15
1959,17
1960,11
1961,13
1962,9
1963,12
1964,10
1965,7
1966,5
1967,8
1968,9
1969,11
1970,6
1971,10
1972,14
1973,13
1974,6
1975,0
1976,0
1977,5
1978,9
1979,5
1980,8
1981,0
1982,7
1983,0
1984,0
1985,0
1986,6
1987,0
1988,6
1989,6
1990,5
1991,0
1992,0
1993,0
1994,6
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
