year,Fenton
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,9
1896,0
1897,5
1898,7
1899,0
1900,5
1901,6
1902,5
1903,8
1904,7
1905,7
1906,10
1907,10
1908,7
1909,7
1910,7
1911,6
1912,16
1913,19
1914,23
1915,39
1916,26
1917,21
1918,34
1919,39
1920,34
1921,29
1922,40
1923,32
1924,34
1925,36
1926,40
1927,37
1928,25
1929,10
1930,20
1931,22
1932,22
1933,26
1934,27
1935,19
1936,17
1937,13
1938,14
1939,16
1940,21
1941,25
1942,17
1943,14
1944,19
1945,12
1946,15
1947,17
1948,17
1949,19
1950,19
1951,14
1952,10
1953,25
1954,18
1955,20
1956,15
1957,19
1958,29
1959,17
1960,22
1961,21
1962,19
1963,12
1964,15
1965,17
1966,12
1967,14
1968,12
1969,17
1970,14
1971,12
1972,11
1973,0
1974,11
1975,8
1976,0
1977,9
1978,7
1979,10
1980,10
1981,10
1982,12
1983,5
1984,10
1985,5
1986,7
1987,7
1988,5
1989,8
1990,10
1991,7
1992,6
1993,6
1994,0
1995,6
1996,0
1997,0
1998,5
1999,6
2000,0
2001,9
2002,9
2003,9
2004,8
2005,15
2006,17
2007,27
2008,21
2009,20
2010,16
2011,21
2012,35
