year,Fleming
1880,5
1881,5
1882,5
1883,9
1884,0
1885,6
1886,0
1887,0
1888,10
1889,0
1890,6
1891,0
1892,5
1893,5
1894,9
1895,0
1896,10
1897,5
1898,5
1899,0
1900,8
1901,5
1902,0
1903,7
1904,7
1905,0
1906,5
1907,12
1908,5
1909,6
1910,9
1911,12
1912,10
1913,11
1914,21
1915,22
1916,23
1917,27
1918,21
1919,24
1920,19
1921,20
1922,22
1923,12
1924,18
1925,17
1926,14
1927,18
1928,15
1929,21
1930,17
1931,20
1932,13
1933,14
1934,18
1935,11
1936,10
1937,12
1938,14
1939,13
1940,10
1941,12
1942,14
1943,11
1944,10
1945,15
1946,18
1947,9
1948,10
1949,11
1950,16
1951,10
1952,12
1953,17
1954,16
1955,12
1956,9
1957,7
1958,8
1959,6
1960,8
1961,9
1962,11
1963,13
1964,10
1965,9
1966,7
1967,7
1968,6
1969,6
1970,6
1971,5
1972,7
1973,6
1974,6
1975,0
1976,5
1977,0
1978,8
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
