year,Felicia
1880,7
1881,8
1882,9
1883,0
1884,12
1885,5
1886,14
1887,9
1888,14
1889,11
1890,9
1891,9
1892,9
1893,7
1894,10
1895,25
1896,11
1897,17
1898,16
1899,18
1900,20
1901,21
1902,23
1903,24
1904,18
1905,24
1906,24
1907,36
1908,38
1909,32
1910,34
1911,50
1912,64
1913,78
1914,79
1915,141
1916,110
1917,132
1918,125
1919,112
1920,101
1921,121
1922,134
1923,106
1924,104
1925,111
1926,91
1927,127
1928,90
1929,103
1930,78
1931,59
1932,86
1933,93
1934,90
1935,62
1936,88
1937,101
1938,114
1939,99
1940,101
1941,87
1942,116
1943,110
1944,109
1945,98
1946,108
1947,137
1948,144
1949,127
1950,155
1951,161
1952,206
1953,267
1954,289
1955,339
1956,469
1957,580
1958,602
1959,833
1960,1398
1961,1461
1962,1609
1963,1672
1964,1841
1965,2201
1966,2136
1967,2101
1968,1936
1969,2247
1970,2549
1971,2821
1972,2376
1973,2084
1974,2046
1975,2416
1976,2107
1977,2226
1978,1946
1979,1860
1980,1728
1981,1634
1982,1432
1983,1510
1984,1494
1985,2752
1986,3090
1987,2929
1988,2712
1989,2769
1990,2712
1991,2626
1992,2091
1993,1954
1994,1631
1995,1351
1996,1082
1997,800
1998,749
1999,664
2000,562
2001,474
2002,451
2003,379
2004,280
2005,247
2006,235
2007,197
2008,170
2009,138
2010,128
2011,155
2012,150
