year,Francisca
1880,0
1881,0
1882,5
1883,8
1884,7
1885,8
1886,7
1887,10
1888,19
1889,11
1890,20
1891,24
1892,22
1893,10
1894,16
1895,13
1896,13
1897,27
1898,26
1899,20
1900,38
1901,30
1902,43
1903,29
1904,39
1905,41
1906,33
1907,45
1908,38
1909,40
1910,46
1911,49
1912,82
1913,55
1914,85
1915,67
1916,97
1917,110
1918,109
1919,109
1920,157
1921,156
1922,157
1923,133
1924,153
1925,168
1926,167
1927,186
1928,197
1929,191
1930,169
1931,133
1932,116
1933,109
1934,120
1935,98
1936,80
1937,98
1938,96
1939,79
1940,83
1941,69
1942,77
1943,89
1944,81
1945,112
1946,102
1947,103
1948,130
1949,103
1950,98
1951,100
1952,101
1953,108
1954,101
1955,75
1956,90
1957,114
1958,92
1959,96
1960,129
1961,89
1962,86
1963,98
1964,94
1965,88
1966,102
1967,90
1968,90
1969,117
1970,106
1971,136
1972,109
1973,127
1974,148
1975,129
1976,137
1977,125
1978,139
1979,142
1980,172
1981,171
1982,159
1983,123
1984,115
1985,153
1986,111
1987,122
1988,134
1989,146
1990,132
1991,138
1992,147
1993,141
1994,127
1995,117
1996,137
1997,104
1998,90
1999,97
2000,103
2001,90
2002,88
2003,79
2004,87
2005,67
2006,66
2007,66
2008,68
2009,60
2010,51
2011,35
2012,46
