year,Felton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,0
1897,8
1898,11
1899,0
1900,8
1901,9
1902,10
1903,10
1904,18
1905,18
1906,14
1907,18
1908,10
1909,16
1910,24
1911,22
1912,40
1913,31
1914,56
1915,79
1916,80
1917,87
1918,67
1919,105
1920,81
1921,100
1922,117
1923,77
1924,91
1925,96
1926,94
1927,99
1928,86
1929,92
1930,88
1931,70
1932,91
1933,80
1934,76
1935,90
1936,88
1937,98
1938,79
1939,83
1940,96
1941,103
1942,104
1943,89
1944,92
1945,79
1946,97
1947,108
1948,127
1949,111
1950,86
1951,108
1952,97
1953,116
1954,109
1955,97
1956,92
1957,111
1958,107
1959,97
1960,80
1961,71
1962,73
1963,79
1964,84
1965,87
1966,65
1967,67
1968,62
1969,54
1970,56
1971,58
1972,51
1973,51
1974,38
1975,33
1976,43
1977,36
1978,45
1979,46
1980,37
1981,42
1982,45
1983,38
1984,39
1985,35
1986,23
1987,28
1988,31
1989,38
1990,28
1991,30
1992,34
1993,11
1994,19
1995,19
1996,20
1997,21
1998,25
1999,19
2000,15
2001,12
2002,15
2003,16
2004,13
2005,9
2006,17
2007,14
2008,11
2009,14
2010,16
2011,7
2012,6
