year,Farrell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,5
1904,0
1905,0
1906,0
1907,7
1908,10
1909,0
1910,0
1911,9
1912,18
1913,24
1914,18
1915,39
1916,41
1917,43
1918,38
1919,52
1920,42
1921,45
1922,42
1923,45
1924,66
1925,55
1926,52
1927,58
1928,44
1929,47
1930,84
1931,87
1932,97
1933,82
1934,90
1935,96
1936,87
1937,80
1938,68
1939,64
1940,69
1941,64
1942,78
1943,68
1944,74
1945,49
1946,44
1947,75
1948,73
1949,61
1950,71
1951,71
1952,73
1953,65
1954,79
1955,70
1956,98
1957,80
1958,66
1959,63
1960,56
1961,60
1962,58
1963,76
1964,44
1965,67
1966,59
1967,57
1968,50
1969,35
1970,49
1971,56
1972,43
1973,35
1974,31
1975,40
1976,34
1977,45
1978,33
1979,44
1980,27
1981,35
1982,34
1983,32
1984,21
1985,32
1986,14
1987,38
1988,29
1989,28
1990,17
1991,28
1992,27
1993,31
1994,11
1995,15
1996,15
1997,25
1998,14
1999,9
2000,18
2001,19
2002,18
2003,30
2004,16
2005,24
2006,22
2007,16
2008,24
2009,12
2010,12
2011,16
2012,12
