year,Farris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,6
1899,0
1900,11
1901,0
1902,7
1903,0
1904,0
1905,9
1906,7
1907,10
1908,16
1909,15
1910,14
1911,14
1912,20
1913,23
1914,36
1915,51
1916,49
1917,46
1918,50
1919,61
1920,61
1921,62
1922,54
1923,67
1924,65
1925,51
1926,72
1927,55
1928,45
1929,40
1930,68
1931,47
1932,63
1933,53
1934,35
1935,45
1936,47
1937,57
1938,40
1939,46
1940,47
1941,36
1942,32
1943,49
1944,45
1945,48
1946,25
1947,29
1948,47
1949,37
1950,29
1951,48
1952,42
1953,41
1954,33
1955,39
1956,39
1957,34
1958,35
1959,26
1960,31
1961,25
1962,39
1963,23
1964,29
1965,24
1966,13
1967,30
1968,11
1969,16
1970,23
1971,9
1972,8
1973,12
1974,15
1975,16
1976,19
1977,15
1978,16
1979,23
1980,14
1981,16
1982,17
1983,20
1984,24
1985,22
1986,19
1987,20
1988,25
1989,26
1990,25
1991,19
1992,32
1993,14
1994,30
1995,13
1996,24
1997,21
1998,13
1999,17
2000,24
2001,22
2002,8
2003,18
2004,16
2005,17
2006,16
2007,17
2008,20
2009,23
2010,15
2011,24
2012,16
