year,Francesca
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,8
1904,0
1905,8
1906,8
1907,7
1908,5
1909,6
1910,8
1911,8
1912,18
1913,18
1914,20
1915,32
1916,17
1917,22
1918,17
1919,8
1920,23
1921,35
1922,15
1923,12
1924,15
1925,15
1926,19
1927,13
1928,13
1929,11
1930,6
1931,16
1932,6
1933,10
1934,12
1935,0
1936,13
1937,10
1938,18
1939,15
1940,18
1941,16
1942,17
1943,21
1944,14
1945,21
1946,35
1947,45
1948,44
1949,64
1950,34
1951,44
1952,84
1953,97
1954,96
1955,106
1956,142
1957,97
1958,126
1959,153
1960,138
1961,118
1962,128
1963,128
1964,143
1965,107
1966,139
1967,144
1968,165
1969,153
1970,162
1971,189
1972,197
1973,207
1974,224
1975,192
1976,228
1977,263
1978,270
1979,289
1980,248
1981,267
1982,276
1983,299
1984,358
1985,412
1986,603
1987,567
1988,606
1989,467
1990,527
1991,560
1992,683
1993,633
1994,707
1995,725
1996,785
1997,771
1998,755
1999,755
2000,702
2001,723
2002,715
2003,714
2004,711
2005,714
2006,747
2007,680
2008,646
2009,666
2010,605
2011,591
2012,630
