year,Fortunato
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,11
1912,0
1913,9
1914,11
1915,13
1916,15
1917,23
1918,15
1919,6
1920,12
1921,10
1922,24
1923,20
1924,21
1925,13
1926,17
1927,23
1928,20
1929,15
1930,18
1931,23
1932,16
1933,11
1934,9
1935,6
1936,14
1937,8
1938,13
1939,9
1940,9
1941,10
1942,10
1943,8
1944,7
1945,0
1946,6
1947,10
1948,13
1949,9
1950,6
1951,6
1952,8
1953,13
1954,0
1955,5
1956,6
1957,11
1958,10
1959,5
1960,7
1961,9
1962,11
1963,6
1964,9
1965,0
1966,7
1967,7
1968,10
1969,9
1970,0
1971,0
1972,12
1973,16
1974,18
1975,8
1976,13
1977,14
1978,7
1979,8
1980,5
1981,10
1982,18
1983,0
1984,5
1985,7
1986,8
1987,5
1988,6
1989,0
1990,7
1991,7
1992,7
1993,6
1994,8
1995,0
1996,5
1997,9
1998,6
1999,5
2000,5
2001,0
2002,6
2003,8
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,0
