year,Fulton
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,10
1888,0
1889,0
1890,0
1891,0
1892,5
1893,6
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,6
1901,9
1902,7
1903,6
1904,5
1905,5
1906,0
1907,5
1908,11
1909,14
1910,15
1911,21
1912,23
1913,24
1914,24
1915,44
1916,41
1917,40
1918,35
1919,36
1920,29
1921,47
1922,36
1923,39
1924,30
1925,32
1926,35
1927,32
1928,39
1929,40
1930,21
1931,16
1932,25
1933,22
1934,24
1935,21
1936,20
1937,27
1938,29
1939,25
1940,20
1941,24
1942,28
1943,37
1944,25
1945,27
1946,28
1947,32
1948,36
1949,38
1950,33
1951,27
1952,25
1953,34
1954,35
1955,21
1956,22
1957,26
1958,22
1959,26
1960,14
1961,23
1962,18
1963,18
1964,13
1965,17
1966,18
1967,16
1968,7
1969,12
1970,10
1971,14
1972,12
1973,8
1974,5
1975,14
1976,9
1977,8
1978,6
1979,5
1980,10
1981,7
1982,5
1983,6
1984,0
1985,6
1986,10
1987,5
1988,9
1989,12
1990,7
1991,13
1992,7
1993,8
1994,9
1995,13
1996,14
1997,10
1998,9
1999,12
2000,18
2001,10
2002,9
2003,15
2004,13
2005,19
2006,12
2007,9
2008,11
2009,14
2010,14
2011,24
2012,30
