year,Fidel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,8
1893,7
1894,0
1895,5
1896,0
1897,0
1898,5
1899,7
1900,0
1901,0
1902,5
1903,0
1904,0
1905,6
1906,6
1907,8
1908,6
1909,6
1910,8
1911,18
1912,14
1913,13
1914,27
1915,28
1916,39
1917,37
1918,45
1919,65
1920,55
1921,50
1922,69
1923,78
1924,72
1925,56
1926,66
1927,66
1928,76
1929,86
1930,80
1931,73
1932,48
1933,58
1934,65
1935,60
1936,49
1937,63
1938,64
1939,62
1940,54
1941,67
1942,71
1943,74
1944,85
1945,66
1946,75
1947,75
1948,81
1949,88
1950,74
1951,92
1952,85
1953,84
1954,79
1955,73
1956,77
1957,85
1958,75
1959,148
1960,110
1961,117
1962,83
1963,75
1964,75
1965,91
1966,90
1967,76
1968,67
1969,82
1970,95
1971,103
1972,80
1973,95
1974,78
1975,112
1976,111
1977,110
1978,116
1979,132
1980,110
1981,152
1982,110
1983,109
1984,111
1985,126
1986,138
1987,134
1988,150
1989,172
1990,159
1991,170
1992,158
1993,176
1994,180
1995,190
1996,176
1997,181
1998,163
1999,162
2000,178
2001,195
2002,179
2003,168
2004,164
2005,179
2006,155
2007,176
2008,141
2009,137
2010,110
2011,122
2012,99
