year,Felice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,7
1898,5
1899,6
1900,6
1901,0
1902,0
1903,9
1904,0
1905,7
1906,6
1907,7
1908,7
1909,9
1910,17
1911,21
1912,30
1913,44
1914,47
1915,48
1916,44
1917,63
1918,51
1919,48
1920,58
1921,60
1922,49
1923,63
1924,57
1925,63
1926,46
1927,62
1928,53
1929,48
1930,58
1931,38
1932,37
1933,33
1934,47
1935,29
1936,41
1937,37
1938,31
1939,40
1940,44
1941,33
1942,43
1943,54
1944,29
1945,50
1946,61
1947,55
1948,62
1949,49
1950,52
1951,51
1952,75
1953,66
1954,92
1955,94
1956,89
1957,77
1958,87
1959,75
1960,73
1961,85
1962,91
1963,90
1964,91
1965,81
1966,82
1967,76
1968,79
1969,89
1970,108
1971,94
1972,65
1973,78
1974,77
1975,54
1976,51
1977,48
1978,48
1979,36
1980,35
1981,35
1982,28
1983,31
1984,47
1985,24
1986,26
1987,44
1988,38
1989,32
1990,37
1991,27
1992,20
1993,19
1994,16
1995,19
1996,9
1997,14
1998,12
1999,17
2000,17
2001,31
2002,11
2003,14
2004,7
2005,11
2006,11
2007,8
2008,12
2009,12
2010,8
2011,0
2012,9
