year,Frieda
1880,26
1881,25
1882,50
1883,57
1884,85
1885,90
1886,91
1887,123
1888,154
1889,162
1890,195
1891,207
1892,265
1893,256
1894,299
1895,299
1896,339
1897,278
1898,335
1899,307
1900,300
1901,323
1902,282
1903,294
1904,280
1905,275
1906,244
1907,267
1908,317
1909,315
1910,319
1911,335
1912,445
1913,506
1914,639
1915,792
1916,838
1917,766
1918,804
1919,746
1920,674
1921,640
1922,566
1923,536
1924,542
1925,428
1926,405
1927,417
1928,372
1929,337
1930,318
1931,234
1932,270
1933,233
1934,267
1935,193
1936,241
1937,209
1938,213
1939,197
1940,200
1941,174
1942,165
1943,175
1944,170
1945,151
1946,171
1947,165
1948,192
1949,189
1950,181
1951,147
1952,139
1953,152
1954,139
1955,133
1956,160
1957,133
1958,136
1959,107
1960,101
1961,98
1962,85
1963,77
1964,78
1965,62
1966,61
1967,54
1968,55
1969,45
1970,33
1971,29
1972,33
1973,51
1974,35
1975,33
1976,23
1977,26
1978,19
1979,32
1980,29
1981,31
1982,26
1983,18
1984,29
1985,30
1986,17
1987,25
1988,30
1989,19
1990,28
1991,17
1992,16
1993,18
1994,22
1995,25
1996,24
1997,23
1998,21
1999,21
2000,14
2001,24
2002,23
2003,20
2004,32
2005,24
2006,17
2007,18
2008,26
2009,33
2010,30
2011,26
2012,33
