year,Fannie
1880,560
1881,565
1882,650
1883,696
1884,743
1885,783
1886,837
1887,798
1888,998
1889,916
1890,1005
1891,916
1892,1031
1893,1003
1894,1008
1895,1012
1896,1001
1897,961
1898,1085
1899,897
1900,1241
1901,873
1902,983
1903,1022
1904,964
1905,1085
1906,955
1907,1089
1908,1085
1909,1077
1910,1245
1911,1107
1912,1434
1913,1488
1914,1623
1915,1937
1916,1896
1917,1969
1918,2027
1919,1989
1920,1986
1921,1897
1922,1875
1923,1787
1924,1722
1925,1660
1926,1579
1927,1462
1928,1373
1929,1205
1930,1240
1931,1100
1932,1184
1933,1035
1934,966
1935,878
1936,825
1937,857
1938,809
1939,744
1940,760
1941,730
1942,776
1943,693
1944,649
1945,585
1946,608
1947,594
1948,569
1949,543
1950,533
1951,452
1952,410
1953,435
1954,383
1955,342
1956,319
1957,295
1958,248
1959,252
1960,232
1961,205
1962,171
1963,200
1964,161
1965,135
1966,126
1967,121
1968,94
1969,99
1970,99
1971,110
1972,95
1973,77
1974,78
1975,87
1976,82
1977,91
1978,64
1979,78
1980,71
1981,64
1982,58
1983,56
1984,66
1985,54
1986,57
1987,58
1988,66
1989,71
1990,54
1991,59
1992,52
1993,58
1994,49
1995,52
1996,33
1997,46
1998,40
1999,41
2000,43
2001,44
2002,39
2003,34
2004,48
2005,40
2006,35
2007,47
2008,50
2009,46
2010,36
2011,41
2012,35
