year,Fermin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,10
1913,18
1914,18
1915,17
1916,14
1917,14
1918,19
1919,19
1920,28
1921,30
1922,36
1923,20
1924,20
1925,29
1926,20
1927,34
1928,28
1929,42
1930,34
1931,27
1932,15
1933,18
1934,23
1935,23
1936,26
1937,28
1938,25
1939,28
1940,18
1941,15
1942,36
1943,28
1944,24
1945,37
1946,31
1947,35
1948,34
1949,47
1950,47
1951,38
1952,40
1953,39
1954,34
1955,42
1956,30
1957,46
1958,35
1959,46
1960,26
1961,44
1962,33
1963,38
1964,42
1965,49
1966,38
1967,36
1968,43
1969,43
1970,64
1971,43
1972,43
1973,46
1974,64
1975,57
1976,44
1977,46
1978,46
1979,49
1980,60
1981,68
1982,62
1983,59
1984,44
1985,52
1986,61
1987,54
1988,58
1989,66
1990,80
1991,83
1992,73
1993,86
1994,86
1995,63
1996,60
1997,76
1998,81
1999,77
2000,69
2001,61
2002,58
2003,60
2004,66
2005,57
2006,82
2007,78
2008,61
2009,54
2010,50
2011,37
2012,39
