year,Francies
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,5
1887,0
1888,8
1889,0
1890,8
1891,0
1892,5
1893,7
1894,0
1895,5
1896,9
1897,6
1898,5
1899,0
1900,10
1901,7
1902,12
1903,0
1904,8
1905,11
1906,0
1907,10
1908,11
1909,9
1910,10
1911,7
1912,15
1913,9
1914,20
1915,21
1916,22
1917,22
1918,21
1919,23
1920,24
1921,19
1922,33
1923,29
1924,22
1925,18
1926,16
1927,18
1928,16
1929,26
1930,13
1931,19
1932,19
1933,27
1934,12
1935,16
1936,14
1937,15
1938,15
1939,12
1940,20
1941,15
1942,9
1943,14
1944,14
1945,13
1946,8
1947,11
1948,22
1949,11
1950,13
1951,13
1952,12
1953,10
1954,11
1955,10
1956,6
1957,8
1958,6
1959,9
1960,5
1961,0
1962,6
1963,7
1964,5
1965,0
1966,6
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
