year,Florine
1880,0
1881,0
1882,0
1883,8
1884,0
1885,9
1886,8
1887,10
1888,12
1889,15
1890,24
1891,12
1892,12
1893,25
1894,28
1895,30
1896,28
1897,23
1898,35
1899,35
1900,59
1901,41
1902,47
1903,57
1904,36
1905,61
1906,58
1907,57
1908,64
1909,84
1910,110
1911,93
1912,123
1913,136
1914,203
1915,266
1916,305
1917,329
1918,321
1919,330
1920,362
1921,399
1922,361
1923,331
1924,320
1925,361
1926,302
1927,279
1928,280
1929,295
1930,248
1931,250
1932,228
1933,217
1934,246
1935,252
1936,189
1937,193
1938,177
1939,138
1940,158
1941,158
1942,151
1943,153
1944,133
1945,113
1946,127
1947,133
1948,135
1949,124
1950,118
1951,103
1952,96
1953,105
1954,73
1955,103
1956,65
1957,71
1958,74
1959,61
1960,56
1961,45
1962,35
1963,38
1964,25
1965,40
1966,31
1967,21
1968,22
1969,21
1970,18
1971,16
1972,13
1973,12
1974,10
1975,11
1976,0
1977,8
1978,9
1979,9
1980,7
1981,10
1982,7
1983,0
1984,5
1985,6
1986,0
1987,0
1988,0
1989,0
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
