year,Freda
1880,34
1881,34
1882,42
1883,33
1884,61
1885,67
1886,66
1887,80
1888,95
1889,112
1890,127
1891,161
1892,229
1893,231
1894,227
1895,250
1896,246
1897,279
1898,273
1899,266
1900,321
1901,255
1902,247
1903,280
1904,256
1905,310
1906,287
1907,306
1908,349
1909,326
1910,345
1911,413
1912,566
1913,613
1914,689
1915,944
1916,948
1917,1010
1918,1025
1919,905
1920,974
1921,970
1922,924
1923,868
1924,915
1925,888
1926,830
1927,819
1928,748
1929,696
1930,610
1931,640
1932,603
1933,588
1934,651
1935,628
1936,494
1937,528
1938,543
1939,538
1940,487
1941,497
1942,509
1943,552
1944,466
1945,438
1946,471
1947,501
1948,469
1949,414
1950,437
1951,461
1952,430
1953,521
1954,479
1955,506
1956,528
1957,494
1958,460
1959,459
1960,448
1961,444
1962,343
1963,317
1964,276
1965,262
1966,193
1967,161
1968,150
1969,137
1970,145
1971,172
1972,168
1973,161
1974,127
1975,132
1976,109
1977,113
1978,111
1979,88
1980,98
1981,91
1982,75
1983,45
1984,54
1985,48
1986,43
1987,24
1988,35
1989,31
1990,29
1991,24
1992,25
1993,25
1994,21
1995,13
1996,16
1997,22
1998,18
1999,14
2000,13
2001,21
2002,18
2003,27
2004,16
2005,18
2006,16
2007,10
2008,17
2009,9
2010,12
2011,12
2012,19
