year,Filomena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,5
1887,0
1888,10
1889,8
1890,8
1891,9
1892,12
1893,0
1894,14
1895,14
1896,14
1897,13
1898,14
1899,29
1900,25
1901,25
1902,30
1903,41
1904,47
1905,46
1906,43
1907,70
1908,57
1909,49
1910,70
1911,71
1912,82
1913,105
1914,130
1915,146
1916,155
1917,141
1918,160
1919,171
1920,176
1921,182
1922,171
1923,207
1924,184
1925,145
1926,174
1927,114
1928,116
1929,106
1930,90
1931,70
1932,68
1933,52
1934,56
1935,43
1936,41
1937,42
1938,39
1939,30
1940,30
1941,24
1942,28
1943,22
1944,19
1945,13
1946,19
1947,17
1948,23
1949,27
1950,19
1951,29
1952,15
1953,19
1954,18
1955,25
1956,25
1957,17
1958,19
1959,35
1960,27
1961,23
1962,29
1963,34
1964,31
1965,30
1966,27
1967,31
1968,30
1969,34
1970,28
1971,30
1972,24
1973,26
1974,20
1975,23
1976,23
1977,27
1978,16
1979,13
1980,13
1981,15
1982,12
1983,11
1984,6
1985,14
1986,6
1987,14
1988,14
1989,7
1990,7
1991,0
1992,14
1993,7
1994,10
1995,0
1996,0
1997,5
1998,11
1999,0
2000,9
2001,7
2002,11
2003,6
2004,9
2005,8
2006,8
2007,7
2008,9
2009,13
2010,8
2011,8
2012,15
