year,Felecia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,5
1910,0
1911,0
1912,5
1913,0
1914,0
1915,10
1916,5
1917,6
1918,16
1919,20
1920,8
1921,10
1922,8
1923,0
1924,7
1925,0
1926,5
1927,10
1928,0
1929,5
1930,0
1931,0
1932,7
1933,8
1934,5
1935,7
1936,9
1937,6
1938,6
1939,8
1940,11
1941,0
1942,11
1943,10
1944,8
1945,11
1946,15
1947,13
1948,8
1949,15
1950,24
1951,33
1952,60
1953,75
1954,69
1955,127
1956,178
1957,309
1958,241
1959,268
1960,345
1961,390
1962,398
1963,421
1964,393
1965,367
1966,300
1967,271
1968,236
1969,291
1970,313
1971,298
1972,290
1973,224
1974,241
1975,255
1976,244
1977,233
1978,167
1979,203
1980,180
1981,161
1982,143
1983,132
1984,121
1985,179
1986,203
1987,183
1988,190
1989,173
1990,150
1991,129
1992,146
1993,115
1994,102
1995,70
1996,55
1997,50
1998,43
1999,31
2000,28
2001,22
2002,13
2003,15
2004,15
2005,14
2006,17
2007,14
2008,7
2009,0
2010,6
2011,5
2012,5
