year,Florentina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,8
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,0
1913,11
1914,0
1915,8
1916,16
1917,7
1918,7
1919,9
1920,7
1921,8
1922,8
1923,15
1924,19
1925,17
1926,15
1927,19
1928,28
1929,20
1930,16
1931,14
1932,11
1933,17
1934,12
1935,5
1936,14
1937,10
1938,9
1939,12
1940,12
1941,10
1942,6
1943,6
1944,17
1945,7
1946,8
1947,5
1948,10
1949,7
1950,13
1951,10
1952,8
1953,10
1954,9
1955,0
1956,12
1957,10
1958,11
1959,9
1960,16
1961,6
1962,12
1963,7
1964,0
1965,14
1966,0
1967,9
1968,6
1969,0
1970,5
1971,6
1972,12
1973,13
1974,13
1975,15
1976,14
1977,11
1978,9
1979,13
1980,12
1981,11
1982,12
1983,10
1984,6
1985,8
1986,13
1987,7
1988,7
1989,6
1990,12
1991,23
1992,10
1993,11
1994,8
1995,8
1996,0
1997,9
1998,0
1999,10
2000,8
2001,12
2002,6
2003,9
2004,11
2005,6
2006,5
2007,10
2008,0
2009,0
2010,6
2011,5
2012,5
