year,Fate
1880,11
1881,13
1882,7
1883,9
1884,15
1885,8
1886,8
1887,10
1888,13
1889,7
1890,10
1891,12
1892,7
1893,9
1894,10
1895,11
1896,12
1897,19
1898,5
1899,6
1900,15
1901,11
1902,6
1903,9
1904,13
1905,6
1906,8
1907,8
1908,0
1909,6
1910,11
1911,5
1912,11
1913,12
1914,27
1915,15
1916,14
1917,26
1918,32
1919,35
1920,21
1921,19
1922,29
1923,17
1924,22
1925,15
1926,19
1927,20
1928,20
1929,17
1930,23
1931,19
1932,19
1933,24
1934,17
1935,10
1936,7
1937,8
1938,12
1939,13
1940,13
1941,11
1942,12
1943,16
1944,15
1945,0
1946,10
1947,14
1948,12
1949,11
1950,11
1951,9
1952,9
1953,6
1954,10
1955,9
1956,6
1957,0
1958,6
1959,6
1960,10
1961,6
1962,7
1963,6
1964,0
1965,0
1966,0
1967,0
1968,7
1969,6
1970,6
1971,0
1972,0
1973,7
1974,0
1975,5
1976,0
1977,0
1978,0
1979,5
1980,5
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,10
1998,0
1999,13
2000,10
2001,5
2002,10
2003,14
2004,15
2005,10
2006,11
2007,5
2008,11
2009,6
2010,13
2011,8
2012,8
