year,Nida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,0
1908,5
1909,6
1910,0
1911,0
1912,7
1913,0
1914,15
1915,15
1916,15
1917,9
1918,15
1919,13
1920,13
1921,7
1922,17
1923,22
1924,13
1925,18
1926,11
1927,10
1928,11
1929,13
1930,15
1931,19
1932,14
1933,11
1934,10
1935,14
1936,15
1937,10
1938,14
1939,0
1940,5
1941,9
1942,7
1943,7
1944,6
1945,6
1946,5
1947,10
1948,9
1949,5
1950,5
1951,6
1952,8
1953,0
1954,7
1955,0
1956,14
1957,0
1958,6
1959,10
1960,7
1961,7
1962,10
1963,0
1964,6
1965,0
1966,8
1967,5
1968,0
1969,5
1970,8
1971,5
1972,5
1973,8
1974,12
1975,7
1976,8
1977,0
1978,9
1979,16
1980,17
1981,18
1982,18
1983,21
1984,19
1985,27
1986,28
1987,20
1988,22
1989,19
1990,25
1991,32
1992,28
1993,33
1994,26
1995,38
1996,37
1997,25
1998,25
1999,24
2000,25
2001,19
2002,24
2003,20
2004,15
2005,16
2006,19
2007,14
2008,8
2009,12
2010,8
2011,13
2012,8
