year,Nat
1880,14
1881,14
1882,7
1883,13
1884,8
1885,15
1886,9
1887,8
1888,12
1889,8
1890,14
1891,12
1892,16
1893,9
1894,18
1895,11
1896,6
1897,8
1898,15
1899,16
1900,18
1901,11
1902,7
1903,14
1904,5
1905,6
1906,12
1907,12
1908,16
1909,16
1910,20
1911,29
1912,49
1913,36
1914,42
1915,61
1916,51
1917,56
1918,48
1919,52
1920,43
1921,40
1922,44
1923,35
1924,38
1925,29
1926,32
1927,36
1928,22
1929,34
1930,31
1931,26
1932,28
1933,21
1934,25
1935,21
1936,20
1937,25
1938,22
1939,22
1940,21
1941,24
1942,24
1943,21
1944,23
1945,17
1946,20
1947,28
1948,22
1949,20
1950,19
1951,14
1952,17
1953,24
1954,16
1955,22
1956,17
1957,28
1958,24
1959,34
1960,30
1961,23
1962,13
1963,21
1964,26
1965,17
1966,15
1967,10
1968,15
1969,14
1970,17
1971,20
1972,8
1973,19
1974,13
1975,0
1976,7
1977,0
1978,0
1979,10
1980,6
1981,6
1982,9
1983,0
1984,8
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,6
1992,5
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
