year,Nadine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,12
1889,6
1890,12
1891,7
1892,9
1893,6
1894,20
1895,17
1896,20
1897,15
1898,29
1899,28
1900,41
1901,29
1902,44
1903,30
1904,33
1905,43
1906,39
1907,51
1908,68
1909,65
1910,90
1911,132
1912,157
1913,206
1914,244
1915,337
1916,429
1917,453
1918,484
1919,563
1920,586
1921,666
1922,622
1923,653
1924,745
1925,789
1926,777
1927,779
1928,679
1929,664
1930,667
1931,630
1932,695
1933,677
1934,659
1935,641
1936,572
1937,566
1938,595
1939,506
1940,490
1941,589
1942,477
1943,554
1944,470
1945,435
1946,520
1947,556
1948,588
1949,644
1950,763
1951,747
1952,943
1953,867
1954,980
1955,902
1956,953
1957,896
1958,1014
1959,916
1960,969
1961,953
1962,945
1963,933
1964,933
1965,773
1966,696
1967,667
1968,602
1969,546
1970,599
1971,482
1972,398
1973,371
1974,355
1975,354
1976,348
1977,340
1978,330
1979,314
1980,333
1981,340
1982,334
1983,275
1984,320
1985,321
1986,310
1987,324
1988,398
1989,357
1990,306
1991,306
1992,276
1993,279
1994,245
1995,267
1996,230
1997,255
1998,269
1999,251
2000,248
2001,220
2002,185
2003,197
2004,199
2005,174
2006,171
2007,204
2008,155
2009,172
2010,149
2011,153
2012,138
