year,Neila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,7
1921,0
1922,0
1923,5
1924,5
1925,0
1926,0
1927,5
1928,7
1929,8
1930,6
1931,0
1932,5
1933,8
1934,12
1935,7
1936,10
1937,12
1938,10
1939,9
1940,16
1941,11
1942,14
1943,12
1944,19
1945,9
1946,15
1947,20
1948,20
1949,13
1950,17
1951,24
1952,23
1953,13
1954,20
1955,18
1956,12
1957,20
1958,15
1959,8
1960,8
1961,7
1962,10
1963,6
1964,7
1965,6
1966,7
1967,9
1968,10
1969,6
1970,7
1971,5
1972,8
1973,10
1974,7
1975,5
1976,8
1977,11
1978,7
1979,6
1980,6
1981,5
1982,5
1983,0
1984,5
1985,7
1986,6
1987,0
1988,5
1989,0
1990,11
1991,5
1992,6
1993,7
1994,6
1995,0
1996,7
1997,5
1998,8
1999,9
2000,9
2001,9
2002,20
2003,22
2004,27
2005,21
2006,23
2007,36
2008,36
2009,47
2010,28
2011,37
2012,33
