year,Nola
1880,23
1881,32
1882,37
1883,30
1884,34
1885,39
1886,51
1887,55
1888,54
1889,69
1890,60
1891,78
1892,62
1893,90
1894,118
1895,111
1896,108
1897,74
1898,122
1899,106
1900,129
1901,93
1902,131
1903,131
1904,140
1905,127
1906,125
1907,142
1908,144
1909,172
1910,158
1911,168
1912,211
1913,205
1914,227
1915,320
1916,301
1917,307
1918,390
1919,343
1920,306
1921,324
1922,335
1923,312
1924,320
1925,280
1926,277
1927,359
1928,331
1929,328
1930,322
1931,300
1932,300
1933,281
1934,307
1935,286
1936,300
1937,293
1938,337
1939,274
1940,259
1941,279
1942,263
1943,291
1944,245
1945,231
1946,223
1947,251
1948,210
1949,222
1950,247
1951,249
1952,240
1953,254
1954,236
1955,195
1956,207
1957,159
1958,144
1959,252
1960,167
1961,156
1962,148
1963,118
1964,137
1965,92
1966,99
1967,65
1968,68
1969,80
1970,66
1971,69
1972,37
1973,33
1974,39
1975,40
1976,47
1977,65
1978,62
1979,58
1980,38
1981,52
1982,65
1983,61
1984,42
1985,34
1986,29
1987,38
1988,24
1989,37
1990,24
1991,25
1992,25
1993,32
1994,32
1995,29
1996,34
1997,36
1998,31
1999,37
2000,50
2001,44
2002,59
2003,80
2004,86
2005,104
2006,202
2007,256
2008,299
2009,280
2010,312
2011,291
2012,333
