year,Naomie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,5
1905,6
1906,5
1907,0
1908,0
1909,5
1910,0
1911,0
1912,8
1913,9
1914,9
1915,19
1916,10
1917,13
1918,10
1919,13
1920,13
1921,11
1922,15
1923,17
1924,9
1925,12
1926,17
1927,12
1928,14
1929,11
1930,14
1931,14
1932,12
1933,15
1934,6
1935,11
1936,13
1937,6
1938,13
1939,7
1940,5
1941,6
1942,5
1943,7
1944,7
1945,0
1946,8
1947,8
1948,0
1949,0
1950,7
1951,6
1952,6
1953,0
1954,6
1955,6
1956,6
1957,0
1958,0
1959,5
1960,0
1961,8
1962,6
1963,5
1964,7
1965,5
1966,6
1967,5
1968,7
1969,5
1970,0
1971,7
1972,7
1973,15
1974,10
1975,14
1976,19
1977,9
1978,14
1979,12
1980,17
1981,20
1982,21
1983,14
1984,22
1985,16
1986,28
1987,13
1988,20
1989,18
1990,19
1991,15
1992,25
1993,18
1994,17
1995,15
1996,25
1997,27
1998,21
1999,27
2000,15
2001,27
2002,29
2003,35
2004,44
2005,48
2006,37
2007,34
2008,48
2009,41
2010,65
2011,54
2012,53
