year,Nova
1880,5
1881,0
1882,0
1883,0
1884,0
1885,12
1886,7
1887,6
1888,15
1889,12
1890,15
1891,13
1892,20
1893,9
1894,18
1895,20
1896,24
1897,18
1898,30
1899,20
1900,29
1901,23
1902,18
1903,21
1904,24
1905,30
1906,27
1907,32
1908,36
1909,39
1910,32
1911,41
1912,54
1913,64
1914,47
1915,77
1916,88
1917,90
1918,79
1919,96
1920,123
1921,96
1922,97
1923,85
1924,102
1925,99
1926,80
1927,77
1928,84
1929,109
1930,80
1931,82
1932,73
1933,58
1934,78
1935,72
1936,56
1937,60
1938,74
1939,49
1940,44
1941,35
1942,48
1943,47
1944,29
1945,27
1946,38
1947,34
1948,49
1949,42
1950,29
1951,33
1952,33
1953,25
1954,27
1955,39
1956,31
1957,31
1958,19
1959,21
1960,34
1961,23
1962,50
1963,72
1964,50
1965,35
1966,38
1967,35
1968,29
1969,36
1970,51
1971,52
1972,58
1973,48
1974,59
1975,57
1976,71
1977,85
1978,56
1979,76
1980,71
1981,53
1982,57
1983,36
1984,36
1985,38
1986,26
1987,20
1988,19
1989,22
1990,30
1991,20
1992,11
1993,21
1994,19
1995,22
1996,29
1997,48
1998,63
1999,65
2000,74
2001,105
2002,104
2003,112
2004,136
2005,124
2006,127
2007,168
2008,203
2009,273
2010,253
2011,335
2012,520
