year,Nile
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,7
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,8
1906,0
1907,5
1908,0
1909,0
1910,5
1911,0
1912,16
1913,9
1914,13
1915,30
1916,28
1917,24
1918,26
1919,26
1920,19
1921,20
1922,22
1923,29
1924,30
1925,31
1926,29
1927,29
1928,27
1929,14
1930,26
1931,28
1932,26
1933,24
1934,13
1935,12
1936,23
1937,15
1938,21
1939,28
1940,39
1941,25
1942,25
1943,25
1944,30
1945,16
1946,22
1947,17
1948,20
1949,16
1950,24
1951,12
1952,19
1953,26
1954,13
1955,16
1956,19
1957,12
1958,15
1959,16
1960,15
1961,14
1962,12
1963,15
1964,18
1965,11
1966,12
1967,13
1968,10
1969,15
1970,10
1971,9
1972,13
1973,14
1974,12
1975,19
1976,15
1977,12
1978,5
1979,21
1980,26
1981,23
1982,17
1983,15
1984,23
1985,18
1986,19
1987,24
1988,30
1989,30
1990,34
1991,37
1992,45
1993,53
1994,56
1995,62
1996,50
1997,61
1998,60
1999,58
2000,54
2001,65
2002,51
2003,55
2004,45
2005,55
2006,55
2007,67
2008,55
2009,51
2010,65
2011,60
2012,73
