year,Neely
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,7
1910,5
1911,0
1912,6
1913,5
1914,14
1915,9
1916,9
1917,6
1918,11
1919,23
1920,8
1921,13
1922,7
1923,15
1924,10
1925,8
1926,9
1927,12
1928,13
1929,14
1930,14
1931,11
1932,6
1933,10
1934,5
1935,8
1936,0
1937,5
1938,7
1939,0
1940,0
1941,10
1942,0
1943,5
1944,0
1945,7
1946,6
1947,13
1948,9
1949,6
1950,0
1951,13
1952,6
1953,0
1954,6
1955,5
1956,8
1957,5
1958,5
1959,5
1960,0
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,40
1969,22
1970,26
1971,12
1972,11
1973,41
1974,81
1975,61
1976,52
1977,59
1978,41
1979,40
1980,27
1981,36
1982,43
1983,23
1984,34
1985,30
1986,32
1987,34
1988,19
1989,15
1990,24
1991,16
1992,18
1993,28
1994,27
1995,16
1996,27
1997,33
1998,46
1999,44
2000,58
2001,40
2002,55
2003,48
2004,56
2005,68
2006,55
2007,55
2008,48
2009,51
2010,47
2011,48
2012,54
