year,Norwood
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,7
1887,5
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,7
1896,0
1897,5
1898,9
1899,5
1900,8
1901,0
1902,6
1903,5
1904,0
1905,0
1906,7
1907,11
1908,6
1909,10
1910,6
1911,17
1912,32
1913,32
1914,36
1915,54
1916,63
1917,54
1918,67
1919,76
1920,72
1921,79
1922,74
1923,75
1924,70
1925,65
1926,66
1927,59
1928,78
1929,57
1930,58
1931,57
1932,49
1933,52
1934,52
1935,50
1936,43
1937,48
1938,51
1939,48
1940,37
1941,43
1942,45
1943,42
1944,35
1945,33
1946,54
1947,43
1948,53
1949,40
1950,47
1951,32
1952,22
1953,42
1954,28
1955,30
1956,30
1957,31
1958,34
1959,26
1960,30
1961,33
1962,25
1963,19
1964,28
1965,21
1966,19
1967,15
1968,18
1969,13
1970,15
1971,15
1972,14
1973,7
1974,10
1975,11
1976,6
1977,6
1978,7
1979,7
1980,5
1981,5
1982,10
1983,9
1984,8
1985,8
1986,10
1987,6
1988,10
1989,5
1990,10
1991,0
1992,5
1993,0
1994,0
1995,5
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
