year,Newman
1880,0
1881,0
1882,7
1883,0
1884,0
1885,6
1886,0
1887,7
1888,5
1889,7
1890,7
1891,8
1892,8
1893,5
1894,10
1895,13
1896,8
1897,0
1898,7
1899,0
1900,5
1901,0
1902,5
1903,6
1904,0
1905,10
1906,0
1907,11
1908,6
1909,13
1910,11
1911,9
1912,19
1913,25
1914,42
1915,37
1916,48
1917,36
1918,58
1919,45
1920,47
1921,67
1922,32
1923,49
1924,46
1925,42
1926,43
1927,41
1928,33
1929,42
1930,43
1931,34
1932,26
1933,33
1934,27
1935,16
1936,18
1937,23
1938,19
1939,22
1940,15
1941,20
1942,21
1943,20
1944,24
1945,25
1946,16
1947,17
1948,22
1949,17
1950,30
1951,12
1952,24
1953,19
1954,15
1955,13
1956,14
1957,12
1958,9
1959,15
1960,11
1961,12
1962,11
1963,11
1964,9
1965,11
1966,12
1967,13
1968,9
1969,10
1970,14
1971,9
1972,13
1973,6
1974,9
1975,0
1976,9
1977,13
1978,0
1979,0
1980,0
1981,5
1982,7
1983,5
1984,7
1985,5
1986,6
1987,6
1988,6
1989,8
1990,8
1991,5
1992,0
1993,9
1994,6
1995,0
1996,6
1997,0
1998,5
1999,5
2000,6
2001,0
2002,0
2003,0
2004,5
2005,7
2006,0
2007,5
2008,0
2009,9
2010,0
2011,6
2012,6
