year,Newt
1880,10
1881,10
1882,14
1883,15
1884,6
1885,7
1886,8
1887,13
1888,7
1889,10
1890,8
1891,6
1892,0
1893,6
1894,5
1895,0
1896,0
1897,10
1898,11
1899,7
1900,9
1901,6
1902,9
1903,0
1904,0
1905,6
1906,7
1907,9
1908,0
1909,0
1910,0
1911,6
1912,10
1913,9
1914,20
1915,16
1916,17
1917,14
1918,11
1919,17
1920,7
1921,11
1922,13
1923,20
1924,11
1925,16
1926,6
1927,0
1928,16
1929,10
1930,13
1931,9
1932,10
1933,10
1934,5
1935,13
1936,0
1937,10
1938,7
1939,6
1940,0
1941,5
1942,0
1943,5
1944,14
1945,7
1946,6
1947,8
1948,0
1949,9
1950,5
1951,8
1952,6
1953,5
1954,5
1955,0
1956,8
1957,7
1958,0
1959,0
1960,9
1961,0
1962,0
1963,5
1964,7
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,6
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,6
2011,5
2012,5
