year,Norah
1880,9
1881,13
1882,13
1883,20
1884,12
1885,15
1886,12
1887,9
1888,15
1889,7
1890,11
1891,16
1892,11
1893,16
1894,13
1895,18
1896,18
1897,22
1898,11
1899,10
1900,18
1901,11
1902,16
1903,11
1904,7
1905,10
1906,12
1907,9
1908,11
1909,9
1910,12
1911,9
1912,10
1913,18
1914,21
1915,22
1916,14
1917,25
1918,22
1919,31
1920,23
1921,19
1922,21
1923,27
1924,33
1925,31
1926,16
1927,23
1928,20
1929,18
1930,13
1931,17
1932,21
1933,24
1934,21
1935,12
1936,7
1937,11
1938,15
1939,17
1940,21
1941,16
1942,23
1943,24
1944,15
1945,26
1946,26
1947,24
1948,29
1949,34
1950,27
1951,35
1952,23
1953,32
1954,19
1955,32
1956,14
1957,20
1958,37
1959,16
1960,25
1961,28
1962,24
1963,25
1964,21
1965,19
1966,19
1967,21
1968,17
1969,14
1970,16
1971,18
1972,22
1973,25
1974,23
1975,29
1976,30
1977,20
1978,24
1979,30
1980,31
1981,35
1982,27
1983,30
1984,37
1985,28
1986,29
1987,27
1988,38
1989,42
1990,38
1991,38
1992,38
1993,35
1994,30
1995,28
1996,35
1997,24
1998,42
1999,44
2000,56
2001,64
2002,96
2003,303
2004,482
2005,557
2006,591
2007,687
2008,665
2009,958
2010,1089
2011,1216
2012,1499
