year,Norval
1880,5
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,9
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,9
1895,7
1896,7
1897,8
1898,0
1899,0
1900,10
1901,5
1902,8
1903,7
1904,8
1905,5
1906,12
1907,5
1908,14
1909,13
1910,9
1911,12
1912,27
1913,36
1914,38
1915,61
1916,70
1917,75
1918,84
1919,58
1920,61
1921,65
1922,61
1923,67
1924,62
1925,72
1926,68
1927,61
1928,60
1929,62
1930,62
1931,49
1932,54
1933,54
1934,44
1935,47
1936,37
1937,44
1938,35
1939,29
1940,44
1941,36
1942,39
1943,29
1944,33
1945,33
1946,26
1947,34
1948,29
1949,18
1950,16
1951,22
1952,24
1953,27
1954,11
1955,17
1956,16
1957,30
1958,11
1959,16
1960,11
1961,11
1962,16
1963,11
1964,8
1965,11
1966,7
1967,11
1968,0
1969,9
1970,8
1971,7
1972,8
1973,8
1974,6
1975,5
1976,0
1977,6
1978,0
1979,0
1980,6
1981,9
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
