year,Nieves
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,11
1914,14
1915,10
1916,18
1917,10
1918,10
1919,23
1920,22
1921,30
1922,24
1923,20
1924,29
1925,37
1926,35
1927,30
1928,33
1929,28
1930,29
1931,19
1932,27
1933,20
1934,11
1935,23
1936,13
1937,18
1938,26
1939,12
1940,16
1941,13
1942,9
1943,13
1944,18
1945,13
1946,16
1947,19
1948,21
1949,20
1950,24
1951,14
1952,17
1953,13
1954,8
1955,19
1956,15
1957,12
1958,8
1959,7
1960,14
1961,19
1962,0
1963,17
1964,17
1965,5
1966,5
1967,16
1968,12
1969,16
1970,16
1971,13
1972,20
1973,13
1974,11
1975,12
1976,6
1977,13
1978,6
1979,10
1980,18
1981,15
1982,21
1983,18
1984,12
1985,21
1986,19
1987,13
1988,13
1989,14
1990,8
1991,20
1992,20
1993,15
1994,6
1995,10
1996,11
1997,7
1998,7
1999,17
2000,5
2001,16
2002,17
2003,13
2004,17
2005,10
2006,17
2007,12
2008,11
2009,6
2010,0
2011,0
2012,5
