year,Nannette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,5
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,5
1899,0
1900,6
1901,0
1902,0
1903,0
1904,7
1905,9
1906,0
1907,0
1908,5
1909,7
1910,5
1911,0
1912,0
1913,6
1914,11
1915,7
1916,13
1917,7
1918,26
1919,19
1920,22
1921,16
1922,16
1923,23
1924,24
1925,37
1926,52
1927,54
1928,33
1929,53
1930,64
1931,54
1932,43
1933,55
1934,60
1935,46
1936,45
1937,59
1938,50
1939,41
1940,60
1941,74
1942,66
1943,43
1944,61
1945,53
1946,71
1947,101
1948,86
1949,113
1950,123
1951,162
1952,135
1953,136
1954,112
1955,155
1956,181
1957,199
1958,180
1959,178
1960,186
1961,240
1962,232
1963,322
1964,291
1965,191
1966,170
1967,152
1968,140
1969,112
1970,119
1971,111
1972,116
1973,68
1974,55
1975,54
1976,54
1977,47
1978,29
1979,30
1980,24
1981,24
1982,14
1983,24
1984,20
1985,14
1986,12
1987,12
1988,16
1989,9
1990,11
1991,10
1992,7
1993,5
1994,10
1995,7
1996,5
1997,6
1998,8
1999,0
2000,6
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,0
2012,7
