year,Nelia
1880,5
1881,6
1882,8
1883,5
1884,13
1885,6
1886,6
1887,6
1888,17
1889,10
1890,9
1891,7
1892,11
1893,12
1894,10
1895,8
1896,0
1897,6
1898,11
1899,6
1900,8
1901,11
1902,14
1903,9
1904,7
1905,10
1906,5
1907,7
1908,10
1909,12
1910,11
1911,8
1912,5
1913,6
1914,13
1915,22
1916,15
1917,11
1918,14
1919,14
1920,21
1921,14
1922,10
1923,14
1924,17
1925,12
1926,12
1927,12
1928,12
1929,9
1930,13
1931,7
1932,11
1933,17
1934,15
1935,12
1936,10
1937,16
1938,10
1939,11
1940,12
1941,13
1942,12
1943,11
1944,12
1945,9
1946,9
1947,12
1948,15
1949,7
1950,15
1951,5
1952,6
1953,13
1954,12
1955,15
1956,12
1957,16
1958,8
1959,10
1960,5
1961,8
1962,13
1963,13
1964,8
1965,7
1966,7
1967,0
1968,15
1969,12
1970,19
1971,10
1972,15
1973,14
1974,18
1975,17
1976,10
1977,11
1978,14
1979,10
1980,12
1981,8
1982,8
1983,10
1984,9
1985,9
1986,8
1987,0
1988,0
1989,8
1990,10
1991,9
1992,6
1993,8
1994,0
1995,8
1996,6
1997,8
1998,7
1999,5
2000,8
2001,8
2002,14
2003,10
2004,10
2005,12
2006,11
2007,11
2008,11
2009,13
2010,17
2011,13
2012,15
