year,Nicolina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,10
1911,12
1912,12
1913,14
1914,20
1915,21
1916,21
1917,27
1918,30
1919,19
1920,27
1921,32
1922,32
1923,25
1924,28
1925,20
1926,28
1927,26
1928,25
1929,21
1930,21
1931,25
1932,11
1933,12
1934,13
1935,11
1936,5
1937,8
1938,14
1939,11
1940,12
1941,6
1942,14
1943,9
1944,6
1945,8
1946,0
1947,10
1948,12
1949,9
1950,16
1951,5
1952,6
1953,0
1954,0
1955,5
1956,7
1957,6
1958,11
1959,0
1960,7
1961,9
1962,0
1963,9
1964,11
1965,9
1966,7
1967,5
1968,14
1969,6
1970,8
1971,6
1972,10
1973,12
1974,5
1975,12
1976,7
1977,10
1978,10
1979,14
1980,16
1981,10
1982,14
1983,16
1984,18
1985,9
1986,10
1987,8
1988,17
1989,14
1990,22
1991,18
1992,16
1993,22
1994,19
1995,24
1996,28
1997,20
1998,25
1999,24
2000,26
2001,20
2002,34
2003,19
2004,21
2005,19
2006,30
2007,27
2008,14
2009,17
2010,18
2011,29
2012,19
