year,Noble
1880,6
1881,26
1882,18
1883,15
1884,18
1885,17
1886,10
1887,15
1888,15
1889,24
1890,21
1891,19
1892,30
1893,15
1894,29
1895,28
1896,24
1897,19
1898,34
1899,28
1900,36
1901,33
1902,22
1903,29
1904,21
1905,29
1906,33
1907,22
1908,40
1909,36
1910,44
1911,53
1912,71
1913,98
1914,128
1915,148
1916,169
1917,155
1918,202
1919,203
1920,203
1921,181
1922,168
1923,153
1924,151
1925,176
1926,161
1927,144
1928,131
1929,113
1930,121
1931,102
1932,97
1933,93
1934,92
1935,91
1936,89
1937,89
1938,89
1939,79
1940,86
1941,63
1942,93
1943,81
1944,83
1945,66
1946,71
1947,76
1948,79
1949,67
1950,67
1951,56
1952,57
1953,65
1954,70
1955,51
1956,42
1957,48
1958,54
1959,43
1960,40
1961,41
1962,41
1963,47
1964,40
1965,34
1966,36
1967,26
1968,37
1969,32
1970,36
1971,33
1972,29
1973,46
1974,17
1975,30
1976,20
1977,22
1978,26
1979,29
1980,27
1981,25
1982,28
1983,26
1984,12
1985,27
1986,15
1987,21
1988,27
1989,29
1990,26
1991,32
1992,29
1993,29
1994,33
1995,48
1996,39
1997,47
1998,51
1999,63
2000,48
2001,72
2002,81
2003,64
2004,62
2005,74
2006,59
2007,72
2008,88
2009,78
2010,95
2011,92
2012,123
