year,Neal
1880,43
1881,33
1882,35
1883,29
1884,36
1885,33
1886,40
1887,37
1888,37
1889,38
1890,40
1891,35
1892,35
1893,33
1894,41
1895,38
1896,35
1897,43
1898,40
1899,33
1900,58
1901,34
1902,46
1903,49
1904,44
1905,45
1906,48
1907,48
1908,52
1909,48
1910,70
1911,63
1912,139
1913,143
1914,181
1915,233
1916,290
1917,287
1918,293
1919,299
1920,377
1921,354
1922,393
1923,409
1924,413
1925,429
1926,423
1927,391
1928,383
1929,351
1930,381
1931,377
1932,383
1933,367
1934,440
1935,420
1936,426
1937,435
1938,444
1939,443
1940,507
1941,542
1942,569
1943,534
1944,571
1945,586
1946,676
1947,735
1948,717
1949,741
1950,851
1951,961
1952,1142
1953,968
1954,1082
1955,1070
1956,1102
1957,1191
1958,1158
1959,1223
1960,1191
1961,1119
1962,1033
1963,1097
1964,1129
1965,892
1966,815
1967,749
1968,651
1969,703
1970,718
1971,602
1972,533
1973,539
1974,593
1975,647
1976,553
1977,626
1978,584
1979,642
1980,593
1981,596
1982,555
1983,579
1984,565
1985,562
1986,547
1987,456
1988,459
1989,521
1990,463
1991,444
1992,396
1993,383
1994,293
1995,258
1996,262
1997,245
1998,207
1999,184
2000,177
2001,171
2002,168
2003,129
2004,111
2005,128
2006,138
2007,116
2008,110
2009,112
2010,113
2011,96
2012,105
