year,Nathalie
1880,0
1881,7
1882,0
1883,0
1884,5
1885,6
1886,9
1887,11
1888,0
1889,8
1890,10
1891,13
1892,5
1893,9
1894,6
1895,8
1896,8
1897,8
1898,16
1899,8
1900,11
1901,8
1902,8
1903,13
1904,10
1905,13
1906,15
1907,16
1908,24
1909,18
1910,22
1911,31
1912,37
1913,46
1914,51
1915,75
1916,78
1917,77
1918,86
1919,74
1920,76
1921,109
1922,88
1923,104
1924,83
1925,100
1926,79
1927,74
1928,72
1929,91
1930,74
1931,57
1932,60
1933,60
1934,49
1935,35
1936,45
1937,48
1938,43
1939,39
1940,45
1941,45
1942,53
1943,38
1944,36
1945,28
1946,23
1947,32
1948,33
1949,24
1950,25
1951,36
1952,28
1953,29
1954,35
1955,27
1956,22
1957,30
1958,23
1959,32
1960,26
1961,34
1962,34
1963,52
1964,42
1965,67
1966,50
1967,58
1968,79
1969,76
1970,103
1971,85
1972,71
1973,75
1974,90
1975,71
1976,91
1977,64
1978,83
1979,85
1980,68
1981,79
1982,105
1983,159
1984,195
1985,196
1986,213
1987,231
1988,299
1989,327
1990,332
1991,312
1992,332
1993,357
1994,370
1995,357
1996,382
1997,334
1998,581
1999,462
2000,454
2001,497
2002,437
2003,473
2004,438
2005,503
2006,549
2007,525
2008,528
2009,629
2010,472
2011,556
2012,493
