year,Niles
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,7
1913,23
1914,15
1915,16
1916,26
1917,38
1918,29
1919,23
1920,27
1921,31
1922,24
1923,25
1924,25
1925,24
1926,22
1927,27
1928,35
1929,42
1930,29
1931,43
1932,29
1933,30
1934,30
1935,27
1936,26
1937,33
1938,33
1939,28
1940,35
1941,35
1942,55
1943,46
1944,44
1945,36
1946,36
1947,45
1948,55
1949,47
1950,57
1951,45
1952,43
1953,44
1954,31
1955,43
1956,37
1957,30
1958,31
1959,30
1960,35
1961,34
1962,31
1963,28
1964,30
1965,28
1966,22
1967,21
1968,14
1969,30
1970,21
1971,24
1972,18
1973,35
1974,38
1975,44
1976,33
1977,24
1978,38
1979,42
1980,37
1981,38
1982,33
1983,48
1984,31
1985,45
1986,46
1987,47
1988,45
1989,53
1990,45
1991,48
1992,43
1993,42
1994,57
1995,70
1996,49
1997,56
1998,80
1999,68
2000,64
2001,54
2002,41
2003,41
2004,43
2005,36
2006,38
2007,50
2008,37
2009,46
2010,29
2011,41
2012,45
