year,Natalia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,7
1891,0
1892,6
1893,10
1894,0
1895,0
1896,5
1897,0
1898,0
1899,6
1900,9
1901,0
1902,7
1903,7
1904,0
1905,5
1906,8
1907,8
1908,10
1909,5
1910,7
1911,17
1912,13
1913,18
1914,16
1915,18
1916,21
1917,45
1918,17
1919,35
1920,40
1921,35
1922,35
1923,43
1924,43
1925,67
1926,66
1927,78
1928,73
1929,69
1930,52
1931,49
1932,41
1933,45
1934,51
1935,37
1936,38
1937,39
1938,27
1939,35
1940,20
1941,26
1942,30
1943,30
1944,36
1945,26
1946,23
1947,25
1948,22
1949,27
1950,36
1951,31
1952,23
1953,25
1954,22
1955,28
1956,36
1957,38
1958,39
1959,45
1960,51
1961,42
1962,56
1963,41
1964,54
1965,52
1966,63
1967,59
1968,62
1969,61
1970,95
1971,85
1972,90
1973,110
1974,121
1975,149
1976,150
1977,145
1978,206
1979,288
1980,297
1981,320
1982,357
1983,380
1984,346
1985,370
1986,372
1987,463
1988,483
1989,478
1990,511
1991,572
1992,707
1993,539
1994,683
1995,757
1996,829
1997,945
1998,1157
1999,1272
2000,1423
2001,2004
2002,1887
2003,2256
2004,2300
2005,2658
2006,3583
2007,3068
2008,3235
2009,3106
2010,3047
2011,2795
2012,2581
