year,Nevada
1880,12
1881,7
1882,18
1883,10
1884,9
1885,5
1886,8
1887,7
1888,11
1889,13
1890,9
1891,21
1892,14
1893,12
1894,13
1895,12
1896,11
1897,21
1898,17
1899,21
1900,23
1901,10
1902,13
1903,9
1904,19
1905,20
1906,13
1907,17
1908,6
1909,22
1910,23
1911,22
1912,20
1913,23
1914,29
1915,34
1916,41
1917,34
1918,32
1919,48
1920,34
1921,41
1922,39
1923,39
1924,43
1925,24
1926,31
1927,30
1928,34
1929,25
1930,28
1931,29
1932,26
1933,27
1934,23
1935,30
1936,20
1937,21
1938,17
1939,17
1940,12
1941,14
1942,21
1943,9
1944,15
1945,14
1946,11
1947,11
1948,11
1949,11
1950,17
1951,19
1952,16
1953,19
1954,16
1955,17
1956,22
1957,17
1958,9
1959,12
1960,12
1961,10
1962,8
1963,9
1964,14
1965,7
1966,8
1967,10
1968,17
1969,16
1970,25
1971,26
1972,14
1973,27
1974,20
1975,24
1976,20
1977,28
1978,26
1979,31
1980,24
1981,33
1982,24
1983,32
1984,24
1985,19
1986,19
1987,27
1988,39
1989,24
1990,33
1991,29
1992,29
1993,41
1994,50
1995,74
1996,54
1997,67
1998,72
1999,64
2000,60
2001,71
2002,53
2003,73
2004,60
2005,64
2006,67
2007,29
2008,52
2009,40
2010,37
2011,54
2012,35
