year,Nedra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,11
1907,10
1908,18
1909,14
1910,25
1911,32
1912,45
1913,56
1914,66
1915,92
1916,84
1917,63
1918,86
1919,69
1920,75
1921,86
1922,71
1923,73
1924,65
1925,71
1926,51
1927,79
1928,70
1929,70
1930,104
1931,77
1932,102
1933,77
1934,109
1935,94
1936,105
1937,97
1938,117
1939,132
1940,158
1941,179
1942,147
1943,125
1944,123
1945,91
1946,122
1947,127
1948,110
1949,118
1950,138
1951,130
1952,128
1953,131
1954,123
1955,148
1956,98
1957,116
1958,119
1959,97
1960,110
1961,99
1962,95
1963,106
1964,114
1965,79
1966,105
1967,97
1968,81
1969,67
1970,76
1971,74
1972,66
1973,53
1974,61
1975,68
1976,64
1977,63
1978,67
1979,73
1980,55
1981,60
1982,42
1983,69
1984,93
1985,30
1986,28
1987,17
1988,20
1989,18
1990,14
1991,12
1992,13
1993,12
1994,10
1995,0
1996,5
1997,0
1998,5
1999,5
2000,6
2001,5
2002,0
2003,8
2004,5
2005,9
2006,0
2007,0
2008,0
2009,0
2010,5
2011,5
2012,0
