year,Nelda
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,7
1888,8
1889,8
1890,0
1891,5
1892,0
1893,9
1894,8
1895,12
1896,8
1897,11
1898,11
1899,10
1900,27
1901,19
1902,18
1903,16
1904,19
1905,25
1906,37
1907,25
1908,16
1909,33
1910,29
1911,47
1912,63
1913,75
1914,117
1915,146
1916,158
1917,177
1918,164
1919,154
1920,224
1921,229
1922,251
1923,238
1924,311
1925,316
1926,348
1927,436
1928,440
1929,376
1930,434
1931,425
1932,468
1933,475
1934,493
1935,478
1936,524
1937,526
1938,567
1939,546
1940,540
1941,554
1942,464
1943,500
1944,435
1945,451
1946,521
1947,468
1948,490
1949,447
1950,375
1951,391
1952,386
1953,319
1954,350
1955,361
1956,280
1957,283
1958,243
1959,222
1960,235
1961,224
1962,186
1963,168
1964,165
1965,129
1966,101
1967,94
1968,95
1969,89
1970,74
1971,86
1972,63
1973,42
1974,54
1975,56
1976,42
1977,37
1978,37
1979,45
1980,32
1981,32
1982,43
1983,29
1984,27
1985,17
1986,8
1987,25
1988,15
1989,26
1990,7
1991,8
1992,14
1993,10
1994,10
1995,10
1996,14
1997,10
1998,7
1999,9
2000,7
2001,7
2002,5
2003,10
2004,5
2005,8
2006,9
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
